stock_name,sector,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
Reliance Industries,Petroleum,1665.73,1603.02,1531.43,1449.6,1347.04,1269.08,1289.01,1290.39,1370.81,1299.67
ONGC,Petroleum,3441.83,3613.99,3480.28,3585.85,3714.36,3639.93,3486.6,3322.62,3467.34,3461.24
Indian Oil,Petroleum,1766.04,1806.42,1796.09,1822.76,1775.22,1836.58,1913.94,1765.6,1790.5,1694.04
BPCL,Petroleum,1635.76,1741.43,1790.57,1873.55,1937.02,1905.3,1963.03,1946.3,2034.11,1947.61
HPCL,Petroleum,1913.68,1809.48,1840.38,1846.32,1936.37,1890.77,1993.22,1898.9,1845.51,1923.24
HDFC Bank,Banking,206.99,191.62,198.22,206.19,209.89,211.94,220.26,206.19,206.24,191.99
ICICI Bank,Banking,1922.57,1842.46,1822.48,1792.46,1859.91,1992.4,1981.96,1921.3,2033.78,2112.0
SBI,Banking,3478.68,3738.34,3929.88,4034.13,4342.87,4640.82,4840.69,5202.25,4821.67,4583.38
Axis Bank,Banking,2155.31,2317.78,2328.77,2470.8,2358.83,2284.26,2239.73,2125.38,2155.09,2202.22
Kotak Mahindra Bank,Banking,1041.23,1073.94,991.06,964.5,989.92,1013.16,1054.83,1000.7,928.78,981.07
IndusInd Bank,Banking,1863.06,1921.86,1921.62,1881.77,1878.12,1732.73,1658.81,1744.87,1826.36,1854.54
TCS,IT,529.44,539.54,510.47,488.72,483.5,444.86,451.09,484.33,511.59,473.07
Infosys,IT,708.36,722.81,677.48,724.25,760.17,700.98,708.22,732.05,778.08,813.69
Wipro,IT,1061.74,993.1,975.82,994.53,1054.16,1090.52,1108.3,1110.83,1049.36,1014.85
HCL Tech,IT,1970.71,1918.84,1890.64,1779.76,1870.85,1906.84,2041.65,2030.25,2026.41,1876.16
Tech Mahindra,IT,2039.69,2150.94,2003.39,1987.61,1832.31,1914.46,1762.7,1816.3,1744.78,1618.47
LTIMindtree,IT,3741.93,3723.99,3860.12,3814.94,3973.98,4080.52,3801.46,3593.04,3589.32,3706.1
Tata Motors,Automobile,546.56,587.43,606.65,639.67,654.24,623.56,665.64,682.92,678.73,669.15
Mahindra & Mahindra,Automobile,2348.53,2201.5,2244.42,2287.09,2183.91,2176.14,2274.1,2153.34,2067.0,1968.32
Maruti Suzuki,Automobile,198.27,186.31,173.55,171.88,169.17,173.56,185.28,177.64,176.91,164.17
Bajaj Auto,Automobile,2678.67,2872.75,2847.71,3066.69,3149.36,2942.25,3089.93,3239.24,3140.18,3131.91
Hero MotoCorp,Automobile,1149.48,1125.23,1114.08,1048.25,1085.57,1080.83,1033.93,1038.33,1077.66,1076.61
Adani Enterprises,Conglomerate,2842.45,2948.19,2882.94,2984.4,3076.9,3038.1,2916.45,2989.39,2883.36,2913.72
Adani Ports,Infrastructure,3030.45,3164.63,3292.9,3338.04,3422.22,3587.4,3820.41,3874.91,3639.54,3400.79
UltraTech Cement,Cement,2558.63,2511.49,2469.19,2298.32,2439.31,2309.46,2134.87,2076.95,2145.71,2185.19
