stock_name,sector,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
Reliance Industries,Petroleum,1427.66,1476.46,1542.45,1585.21,1625.87,1634.18,1707.13,1722.83,1770.38,1811.85
HDFC Bank,Banking,1506.96,1523.37,1587.17,1648.81,1688.34,1714.48,1779.17,1817.35,1890.16,1941.33
ICICI Bank,Banking,496.05,505.85,518.02,526.25,537.03,541.95,563.65,574.33,586.84,609.43
SBI,Banking,599.45,621.12,643.05,661.09,666.7,686.41,697.59,718.2,727.41,750.5
TCS,IT,3136.04,3265.59,3412.38,3524.68,3617.47,3752.83,3832.76,3998.79,4088.34,4132.52
Infosys,IT,2482.15,2560.29,2654.52,2763.03,2855.84,2937.79,3029.09,3090.24,3168.52,3210.41
Wipro,IT,3355.1,3397.61,3476.86,3567.75,3599.1,3633.55,3769.9,3924.25,4058.98,4199.87
HCL Tech,IT,3076.89,3179.53,3218.81,3271.78,3322.9,3406.13,3429.71,3453.75,3544.09,3652.54
Tech Mahindra,IT,2311.05,2367.11,2386.97,2484.77,2542.37,2632.6,2704.5,2789.55,2907.22,2994.96
LTIMindtree,IT,1872.99,1900.18,1922.15,2006.15,2081.44,2110.57,2141.2,2229.2,2308.93,2375.65
Tata Motors,Automobile,498.89,515.92,531.01,538.87,557.57,564.78,574.29,595.39,607.91,628.41
Mahindra & Mahindra,Automobile,1545.28,1578.26,1640.65,1688.59,1762.85,1802.39,1826.55,1857.61,1902.26,1914.28
Maruti Suzuki,Automobile,1019.58,1032.26,1049.32,1059.18,1066.91,1081.84,1087.96,1132.0,1173.76,1211.18
Bajaj Auto,Automobile,2328.5,2432.89,2446.65,2513.42,2554.77,2624.83,2734.51,2827.05,2849.35,2943.35
Hero MotoCorp,Automobile,698.45,724.72,747.94,753.01,774.02,802.44,820.86,845.29,866.18,873.71
Adani Ports,Infrastructure,2104.39,2193.5,2237.54,2306.27,2377.23,2402.77,2418.55,2466.62,2558.39,2597.97
UltraTech Cement,Cement,3258.29,3286.7,3326.93,3453.04,3563.49,3597.03,3623.55,3656.37,3817.59,3940.24
Asian Paints,Consumer,479.46,487.22,496.24,512.09,531.5,543.91,551.78,557.75,567.23,590.15
ITC,FMCG,3206.83,3223.66,3357.02,3428.54,3448.97,3574.42,3620.04,3734.26,3853.86,4016.44
Nestle India,FMCG,745.33,760.45,793.84,803.24,816.11,834.19,859.6,889.01,907.96,929.64
Britannia,FMCG,1507.6,1530.53,1542.34,1564.2,1609.03,1635.4,1664.13,1729.34,1755.53,1790.37
Hindustan Unilever,FMCG,2618.34,2643.16,2725.41,2757.0,2865.27,2969.05,3026.04,3158.59,3269.22,3365.98
Titan,Luxury,1914.77,1946.25,2000.34,2020.55,2047.72,2060.05,2087.33,2146.39,2236.75,2330.1
Zomato,Technology,3172.22,3230.98,3256.7,3297.24,3332.04,3461.24,3549.86,3706.02,3740.14,3819.17
Paytm,Fintech,3233.84,3362.41,3415.45,3491.67,3532.32,3573.76,3636.39,3773.89,3899.3,3928.92
IRCTC,Railways,835.69,859.94,898.16,918.03,959.21,980.01,1005.23,1025.94,1038.59,1068.29
Coal India,Mining,725.24,752.71,778.58,811.13,825.97,850.1,882.95,896.87,934.13,943.72
Tata Steel,Steel,1244.54,1255.44,1282.1,1289.28,1338.42,1357.02,1410.14,1422.44,1471.44,1495.61
JSW Steel,Steel,1196.99,1250.3,1257.64,1309.57,1327.33,1352.44,1397.85,1457.22,1490.02,1534.16
Sun Pharma,Pharma,1505.72,1548.8,1556.64,1611.98,1679.65,1691.43,1736.06,1775.19,1831.52,1871.88
Dr Reddy's,Pharma,312.95,325.31,338.01,347.5,351.57,355.7,360.29,363.45,371.57,385.84
Cipla,Pharma,2191.06,2222.37,2248.5,2289.9,2307.92,2339.96,2412.42,2504.2,2578.04,2658.65
Apollo Hospitals,Healthcare,1129.77,1166.61,1180.52,1195.41,1233.4,1282.5,1338.54,1379.99,1430.74,1442.04
Larsen & Toubro,Infrastructure,865.84,878.97,910.34,936.39,975.33,994.49,1038.14,1076.52,1082.3,1096.78
Power Grid,Energy,2334.52,2386.55,2466.69,2505.47,2535.98,2595.23,2612.24,2641.8,2680.36,2754.5
NTPC,Energy,437.09,442.45,455.94,468.63,472.9,478.93,495.69,507.14,523.14,531.96
BHEL,Energy,2581.24,2662.27,2702.81,2774.68,2869.48,2967.77,3093.01,3136.14,3229.66,3355.64
Pidilite,Chemicals,911.96,925.84,963.27,980.11,987.65,1022.93,1040.55,1074.05,1092.13,1098.32
DLF,Real Estate,3083.76,3131.09,3261.9,3313.97,3436.66,3538.47,3590.02,3703.28,3795.51,3877.22
Godrej Properties,Real Estate,1973.94,2045.94,2091.22,2144.08,2228.31,2327.31,2363.48,2428.97,2515.81,2590.47
Avenue Supermarts,Retail,2590.71,2610.76,2715.69,2763.6,2823.82,2878.24,2919.22,3007.71,3118.27,3239.93
Bharat Electronics,Defense,1104.27,1110.6,1133.95,1143.63,1191.27,1237.29,1248.91,1269.86,1297.45,1344.64
HAL,Defense,774.85,805.5,816.1,839.28,843.9,878.89,892.89,901.8,934.69,971.81
Tata Power,Energy,1826.05,1889.69,1932.22,2008.28,2055.78,2075.83,2107.42,2176.84,2239.87,2306.16
Jio Financial,Finance,3351.94,3494.34,3611.58,3701.75,3864.46,3898.9,3940.95,4004.62,4140.72,4167.22
TVS Motors,Automobile,1804.26,1860.98,1917.81,1975.29,2034.39,2063.15,2077.75,2140.08,2154.62,2172.7
Eicher Motors,Automobile,1553.47,1598.86,1645.12,1679.55,1698.43,1762.88,1819.1,1864.94,1930.36,1969.84
Persistent Systems,IT,1728.0,1737.38,1807.02,1876.43,1904.11,1984.01,2034.79,2088.5,2118.75,2185.23
Dixon Technologies,Electronics,1322.19,1370.37,1394.14,1418.9,1459.41,1524.32,1563.73,1607.45,1657.98,1680.72
Varun Beverages,Consumer,1530.17,1585.91,1600.02,1609.39,1634.54,1692.53,1763.58,1787.86,1829.32,1889.77
