stock_name,sector,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
Reliance Industries,Petroleum,603.63,594.26,615.27,606.08,627.95,657.15,637.17,649.77,645.47,620.12
ONGC,Petroleum,2015.03,2062.91,1964.68,2024.13,1970.7,1945.05,1908.29,1989.72,1925.83,1964.54
Indian Oil,Petroleum,596.44,599.14,603.44,610.26,609.49,606.89,580.05,562.07,541.9,527.42
BPCL,Petroleum,2311.96,2302.98,2305.88,2367.84,2382.38,2361.26,2397.04,2370.32,2258.5,2241.35
HPCL,Petroleum,3123.87,3244.68,3090.12,3054.38,3011.51,2902.41,3017.83,2973.27,2865.65,2763.38
HDFC Bank,Banking,2116.81,2172.76,2117.95,2020.31,2003.04,1975.96,1924.97,1920.73,1961.14,1974.69
ICICI Bank,Banking,1154.04,1187.36,1210.43,1203.91,1181.91,1216.28,1160.12,1166.63,1215.7,1275.31
SBI,Banking,1439.32,1388.95,1353.7,1369.11,1315.69,1342.32,1384.51,1343.44,1392.91,1382.13
Axis Bank,Banking,665.24,644.33,671.28,649.02,627.51,604.91,602.29,617.91,599.22,610.02
Kotak Mahindra Bank,Banking,989.3,1023.42,985.99,954.65,994.22,1033.94,1041.96,998.57,1029.65,1055.39
IndusInd Bank,Banking,1243.33,1298.18,1270.35,1297.03,1313.43,1290.98,1233.29,1208.47,1238.7,1288.77
TCS,IT,1968.78,2017.15,1999.46,2055.96,2074.45,2020.68,1981.09,1988.64,2055.43,2028.51
Infosys,IT,1990.49,2067.15,2047.37,1977.06,2061.26,2061.7,2060.49,2000.12,1976.73,2026.45
Wipro,IT,1458.09,1529.75,1500.25,1536.16,1541.9,1612.47,1578.3,1538.66,1567.2,1625.67
HCL Tech,IT,1443.87,1504.62,1451.94,1487.45,1558.6,1602.63,1569.94,1541.34,1491.51,1553.61
Tech Mahindra,IT,2815.64,2881.64,2901.71,2822.74,2895.37,3017.59,2911.4,2869.45,2788.14,2826.94
LTIMindtree,IT,838.36,829.98,824.81,853.06,885.3,862.7,868.01,876.24,890.66,915.95
Tata Motors,Automobile,3121.81,3028.05,2883.32,2931.1,3077.6,2939.78,2962.36,2821.22,2881.12,3024.93
Mahindra & Mahindra,Automobile,1999.74,2072.15,2106.78,2066.84,2103.72,2029.35,2047.86,2045.83,2015.9,2053.79
Maruti Suzuki,Automobile,2471.79,2546.59,2574.76,2566.51,2659.95,2759.79,2629.8,2525.45,2622.42,2555.82
Bajaj Auto,Automobile,2728.76,2773.34,2677.5,2789.71,2694.78,2783.66,2872.22,2729.24,2726.7,2680.09
Hero MotoCorp,Automobile,2362.4,2455.35,2533.6,2608.52,2547.22,2553.92,2639.27,2738.42,2784.09,2762.42
Adani Enterprises,Conglomerate,2292.22,2371.39,2297.24,2201.8,2254.95,2343.79,2273.72,2310.91,2356.97,2362.68
Adani Ports,Infrastructure,2401.7,2423.07,2536.06,2475.07,2534.74,2425.85,2481.7,2504.66,2492.51,2475.08
UltraTech Cement,Cement,684.64,709.97,686.8,667.97,653.03,648.97,627.63,649.96,648.66,617.98
ACC,Cement,199.28,191.43,200.02,195.95,195.61,188.42,186.24,188.55,188.61,180.98
Ambuja Cements,Cement,1928.7,1887.86,1962.8,2001.33,2085.62,2144.69,2248.3,2346.85,2230.74,2298.36
Asian Paints,Consumer,966.1,941.44,963.79,997.71,1037.41,1015.8,1053.95,1043.71,1044.94,1049.02
